Date,Hour,Temp,DateTime,Temp_roll3,Temp_roll24,HDD,CDD,Temp_centered,Temp_sq,Temp_cubed,Month,DayOfWeek,DayOfYear,Quarter,IsWeekend,IsHoliday,hour_sin,hour_cos
2008-01-01,0,40.142857142857146,2008-01-01 00:00:00,40.142857142857146,40.142857142857146,24.857142857142854,0.0,-24.857142857142854,617.877551020408,-15358.670553935854,1,1,1,1,0,1,0.0,1.0
2008-01-01,1,39.17857142857143,2008-01-01 01:00:00,39.66071428571429,39.66071428571429,25.82142857142857,0.0,-25.82142857142857,666.7461734693876,-17216.338693513117,1,1,1,1,0,1,0.25881904510252074,0.9659258262890683
2008-01-01,2,39.107142857142854,2008-01-01 02:00:00,39.476190476190474,39.476190476190474,25.892857142857146,0.0,-25.892857142857146,670.4400510204083,-17359.60846392129,1,1,1,1,0,1,0.49999999999999994,0.8660254037844387
2008-01-01,3,38.32142857142857,2008-01-01 03:00:00,38.86904761904761,39.1875,26.67857142857143,0.0,-26.67857142857143,711.7461734693878,-18988.371127915456,1,1,1,1,0,1,0.7071067811865475,0.7071067811865476
2008-01-01,4,38.42857142857143,2008-01-01 04:00:00,38.61904761904761,39.03571428571429,26.57142857142857,0.0,-26.57142857142857,706.0408163265305,-18760.513119533523,1,1,1,1,0,1,0.8660254037844386,0.5000000000000001
2008-01-01,5,38.535714285714285,2008-01-01 05:00:00,38.42857142857142,38.952380952380956,26.464285714285715,0.0,-26.464285714285715,700.358418367347,-18534.485286078718,1,1,1,1,0,1,0.9659258262890683,0.25881904510252074
2008-01-01,6,39.285714285714285,2008-01-01 06:00:00,38.75,39.0,25.714285714285715,0.0,-25.714285714285715,661.2244897959184,-17002.915451895045,1,1,1,1,0,1,1.0,6.123233995736766e-17
2008-01-01,7,41.214285714285715,2008-01-01 07:00:00,39.67857142857142,39.276785714285715,23.785714285714285,0.0,-23.785714285714285,565.7602040816327,-13457.010568513118,1,1,1,1,0,1,0.9659258262890683,-0.25881904510252063
2008-01-01,8,46.285714285714285,2008-01-01 08:00:00,42.261904761904766,40.05555555555556,18.714285714285715,0.0,-18.714285714285715,350.22448979591843,-6554.201166180759,1,1,1,1,0,1,0.8660254037844387,-0.4999999999999998
2008-01-01,9,50.392857142857146,2008-01-01 09:00:00,45.964285714285715,41.089285714285715,14.607142857142854,0.0,-14.607142857142854,213.3686224489795,-3116.7059493440215,1,1,1,1,0,1,0.7071067811865476,-0.7071067811865475
2008-01-01,10,52.42857142857143,2008-01-01 10:00:00,49.702380952380956,42.120129870129865,12.57142857142857,0.0,-12.57142857142857,158.04081632653057,-1986.798833819241,1,1,1,1,0,1,0.49999999999999994,-0.8660254037844387
2008-01-01,11,53.42857142857143,2008-01-01 11:00:00,52.083333333333336,43.0625,11.57142857142857,0.0,-11.57142857142857,133.89795918367344,-1549.390670553935,1,1,1,1,0,1,0.258819045102521,-0.9659258262890682
2008-01-01,12,53.75,2008-01-01 12:00:00,53.202380952380956,43.88461538461539,11.25,0.0,-11.25,126.5625,-1423.828125,1,1,1,1,0,1,1.2246467991473532e-16,-1.0
2008-01-01,13,53.5,2008-01-01 13:00:00,53.5595238095238,44.57142857142857,11.5,0.0,-11.5,132.25,-1520.875,1,1,1,1,0,1,-0.2588190451025208,-0.9659258262890683
2008-01-01,14,52.25,2008-01-01 14:00:00,53.166666666666664,45.083333333333336,12.75,0.0,-12.75,162.5625,-2072.671875,1,1,1,1,0,1,-0.4999999999999997,-0.8660254037844388
2008-01-01,15,50.535714285714285,2008-01-01 15:00:00,52.095238095238095,45.424107142857146,14.464285714285715,0.0,-14.464285714285715,209.21556122448982,-3026.1536534256566,1,1,1,1,0,1,-0.7071067811865471,-0.7071067811865479
2008-01-01,16,47.5,2008-01-01 16:00:00,50.095238095238095,45.54621848739496,17.5,0.0,-17.5,306.25,-5359.375,1,1,1,1,0,1,-0.8660254037844384,-0.5000000000000004
2008-01-01,17,44.607142857142854,2008-01-01 17:00:00,47.547619047619044,45.49404761904762,20.392857142857146,0.0,-20.392857142857146,415.8686224489797,-8480.749407798838,1,1,1,1,0,1,-0.9659258262890683,-0.25881904510252063
2008-01-01,18,42.67857142857143,2008-01-01 18:00:00,44.92857142857142,45.34586466165413,22.32142857142857,0.0,-22.32142857142857,498.24617346938766,-11121.566372084546,1,1,1,1,0,1,-1.0,-1.8369701987210297e-16
2008-01-01,19,40.714285714285715,2008-01-01 19:00:00,42.666666666666664,45.114285714285714,24.285714285714285,0.0,-24.285714285714285,589.7959183673469,-14323.615160349853,1,1,1,1,0,1,-0.9659258262890684,0.2588190451025203
2008-01-01,20,39.0,2008-01-01 20:00:00,40.797619047619044,44.823129251700685,26.0,0.0,-26.0,676.0,-17576.0,1,1,1,1,0,1,-0.8660254037844386,0.5000000000000001
2008-01-01,21,37.285714285714285,2008-01-01 21:00:00,39.0,44.48051948051948,27.714285714285715,0.0,-27.714285714285715,768.0816326530613,-21286.833819241983,1,1,1,1,0,1,-0.7071067811865477,0.7071067811865474
2008-01-01,22,35.892857142857146,2008-01-01 22:00:00,37.392857142857146,44.10714285714286,29.107142857142854,0.0,-29.107142857142854,847.2257653061223,-24660.321383017486,1,1,1,1,0,1,-0.5000000000000004,0.8660254037844384
2008-01-01,23,34.535714285714285,2008-01-01 23:00:00,35.904761904761905,43.708333333333336,30.464285714285715,0.0,-30.464285714285715,928.0727040816328,-28273.072020772597,1,1,1,1,0,1,-0.25881904510252157,0.9659258262890681
2008-01-02,0,33.32142857142857,2008-01-02 00:00:00,34.583333333333336,43.424107142857146,31.67857142857143,0.0,-31.67857142857143,1003.5318877551022,-31790.456587099132,1,2,2,1,0,0,0.0,1.0
